strategy,dice,precision,recall,iou,n_datasets
box_class_mask_tight,0.37630017959009676,0.40508185689258175,0.41317756700800456,0.28416250389764347,13
box_class_mask,0.3723093110846859,0.4019660446006777,0.4117617854914293,0.27983063063465424,13
salient_mask,0.3678663883337423,0.4118521883862828,0.39647162704925126,0.28061364232868,13
masksup_r0.3,0.35993447365299924,0.45815643122963035,0.35997829321214664,0.278802524715979,13
salient_mask_aggressive,0.35318195265451585,0.3621789348429143,0.4123978563964625,0.2658557027002616,13
masksup_r0.5,0.3464967936382243,0.4355029278775546,0.3513681253634974,0.2656605667674087,13
entropy_mask,0.3458803969720901,0.42554669352067953,0.34453600803182743,0.26159221581176034,13
uncertainty_eu,0.33918403694128485,0.43636541128889306,0.32646170287579174,0.25314677844156785,13
regional_g16,0.334590823334425,0.40385329026087435,0.34353515791312894,0.2508852294521477,13
uncertainty_au,0.32905194652500974,0.43029988989433776,0.33737305229030334,0.24556433113828843,13
regional_g8,0.32350548465752976,0.4026552867869971,0.3406390464413327,0.23842192942788773,13
entropy_mask_strict,0.30725027375842057,0.4037284441310852,0.31964336054426096,0.22907141700216666,13
class_presence,0.2722724481317,0.3630714655964997,0.2752754909484404,0.19025760068875297,13
class_presence_strict,0.265171035427332,0.36113661991454776,0.28241678896627903,0.18439937327299205,13
no_mask,0.24323988398108465,0.37006639957350906,0.22295970044934027,0.17676155691252343,13
