dataset,strategy,dice,precision,recall,iou
jrc_cos7-1a,box_class_mask,0.2861825305814989,0.35898721873768913,0.2980268689302258,0.222608283253674
jrc_cos7-1a,box_class_mask_tight,0.2861825305814989,0.35898721873768913,0.2980268689302258,0.222608283253674
jrc_cos7-1a,class_presence,0.028746898012155568,0.31233688126732717,0.015772914507308895,0.01537978256475302
jrc_cos7-1a,class_presence_strict,0.16807526822561678,0.3900038210133971,0.13648526724925997,0.11970027952055709
jrc_cos7-1a,entropy_mask,0.28162397915106324,0.3560952788608317,0.2772251286987443,0.22003915168877097
jrc_cos7-1a,entropy_mask_strict,0.14625929747307048,0.3575252695732113,0.13567850603412757,0.1112776485666321
jrc_cos7-1a,masksup_r0.3,0.23890485757392624,0.4165875268293712,0.19399831095519862,0.17036199218915832
jrc_cos7-1a,masksup_r0.5,0.18546240908614098,0.3445605237059071,0.13711966646029186,0.12707168295224264
jrc_cos7-1a,no_mask,0.0005632218656000674,0.21201098146877145,0.00028198919302646505,0.0002818953191407281
jrc_cos7-1a,regional_g16,0.2170853635289022,0.35896936028404225,0.1782439722605701,0.1559518747004381
jrc_cos7-1a,regional_g8,0.16451912852411413,0.37791763566441117,0.11189610467939988,0.10362421128099938
jrc_cos7-1a,salient_mask,0.2676275910815127,0.33142907801134525,0.31315609313714343,0.2020383212393524
jrc_cos7-1a,salient_mask_aggressive,0.15327777225981287,0.2483100947250719,0.20964081579593502,0.0980488708937616
jrc_cos7-1a,uncertainty_au,0.23790897540639572,0.3371670879185064,0.2434443617394609,0.17037580083962198
jrc_cos7-1a,uncertainty_eu,0.22009760258708871,0.44313304396291747,0.1767728821187893,0.15294209933817232
jrc_cos7-1b,box_class_mask,0.28077438157182283,0.4283920855919563,0.325977861487164,0.21364294964153802
jrc_cos7-1b,box_class_mask_tight,0.28077438157182283,0.4283920855919563,0.325977861487164,0.21364294964153802
jrc_cos7-1b,class_presence,0.09643161152738335,0.3852899627548741,0.059663375274234265,0.05419690442678018
jrc_cos7-1b,class_presence_strict,0.17454128768766164,0.3798785614973137,0.1511945628278653,0.12424552250272414
jrc_cos7-1b,entropy_mask,0.2652242070239428,0.3297578503633768,0.28603324386481305,0.20333169877566942
jrc_cos7-1b,entropy_mask_strict,0.1716368874669979,0.3658338615494613,0.18669165364158338,0.13227304187796854
jrc_cos7-1b,masksup_r0.3,0.25989494035646166,0.5653347375622638,0.2547536026250824,0.1948997067160487
jrc_cos7-1b,masksup_r0.5,0.2249759667903582,0.2956782547212964,0.22003159516310147,0.17102212635845562
jrc_cos7-1b,no_mask,9.658392928748075e-05,0.019122565414125516,4.8453755533926375e-05,4.829839749406411e-05
jrc_cos7-1b,regional_g16,0.24666673081128102,0.47509812319713846,0.2384645078571551,0.18428474160413977
jrc_cos7-1b,regional_g8,0.20617181083010783,0.5134958905826749,0.16137749621579792,0.1441607768158008
jrc_cos7-1b,salient_mask,0.2759409499363687,0.32107149641568344,0.3489983202422229,0.21072822830112486
jrc_cos7-1b,salient_mask_aggressive,0.14160861237209427,0.26636596729921685,0.19708230266031865,0.08889795387806919
jrc_cos7-1b,uncertainty_au,0.25593442055304905,0.4475386707328208,0.2683054904463676,0.19055427131926986
jrc_cos7-1b,uncertainty_eu,0.26690075554508363,0.44533822422145813,0.25664412242287565,0.20182021247525136
jrc_fly-vnc-1,box_class_mask,0.2707207909761722,0.29658106069825996,0.2554851176882058,0.21563402323695863
jrc_fly-vnc-1,box_class_mask_tight,0.27325191013915806,0.2982777771307067,0.25773853098768706,0.2186619385438596
jrc_fly-vnc-1,class_presence,0.27121556373869987,0.3130172171139643,0.23927558155801706,0.21010187394553398
jrc_fly-vnc-1,class_presence_strict,0.24635733575561997,0.3536315970535691,0.2050047254513489,0.18678549062814068
jrc_fly-vnc-1,entropy_mask,0.2673688450947731,0.3114609560595915,0.2399390044448777,0.21214698710663904
jrc_fly-vnc-1,entropy_mask_strict,0.199797813268819,0.29476677237092536,0.15141798000935486,0.13731507007226545
jrc_fly-vnc-1,masksup_r0.3,0.26708729418903443,0.30013067187160986,0.2561674380602198,0.21644558874178443
jrc_fly-vnc-1,masksup_r0.5,0.246813586656028,0.29026220580131856,0.2291041793426507,0.18915557712222017
jrc_fly-vnc-1,no_mask,0.17828578690481547,0.31385837978062825,0.13163892339723007,0.1228075545885385
jrc_fly-vnc-1,regional_g16,0.24498916465638176,0.3010361084694308,0.21128023874513743,0.1849949029708673
jrc_fly-vnc-1,regional_g8,0.2445810991057662,0.2929639194844703,0.2224802531681435,0.1876285656000885
jrc_fly-vnc-1,salient_mask,0.29456405462403146,0.30150292528412126,0.2903219142906679,0.24214430813185234
jrc_fly-vnc-1,salient_mask_aggressive,0.29039742110165645,0.2885595802874432,0.3057397610345819,0.23454914150209055
jrc_fly-vnc-1,uncertainty_au,0.24515738558085917,0.2922229360016015,0.23883278364666333,0.19351923263354742
jrc_fly-vnc-1,uncertainty_eu,0.24839928829723812,0.29554188567888806,0.231444261384462,0.1985576265951567
jrc_hela-2,box_class_mask,0.2778521992821343,0.2982732408630216,0.2659254620231118,0.21301133509830503
jrc_hela-2,box_class_mask_tight,0.2809873452423067,0.30925239407684363,0.26209941599815734,0.21656196447568696
jrc_hela-2,class_presence,0.23500684050716547,0.347564219934815,0.21888758693090424,0.16476973044558618
jrc_hela-2,class_presence_strict,0.1503550945484627,0.31804004930566643,0.1561292566971241,0.09685714800023595
jrc_hela-2,entropy_mask,0.2119595031678613,0.34815027408571664,0.20274174985928423,0.14416987533122574
jrc_hela-2,entropy_mask_strict,0.18364397564237483,0.3312659713665437,0.18115037811761953,0.11968601934289991
jrc_hela-2,masksup_r0.3,0.2877754398906265,0.4020823257665621,0.254815827610605,0.22249029150175054
jrc_hela-2,masksup_r0.5,0.2117270330154859,0.37246369850966177,0.18643430101755723,0.14677878256861943
jrc_hela-2,no_mask,0.16691110190700378,0.31716362768134687,0.13287992279396593,0.10419313557804058
